BUYER_COUNTY,BUYER_STATE,year_x,DOSAGE_UNIT,TOT_POP,drugdensity,densitybins,TOT_MALE,TOT_FEMALE,WA_PER,BA_PER,IA_PER,H_PER,GRNDTOT,Poverty_Percent,Median_Income,ltHS,HS,sCorA,B+,ObesityPercent,democrat,republican,Unemp_Yearly_Rate,crimerate
POINSETT,AR,2007,73700,24906,2.96,2,12188,12718,90.31,8.03,0.42,2.36,1235,25.3,30581,29.25,41.3,21.45,8.05,33.4,39.12,57.89,7.22,0.05
WHITESIDE,IL,2006,73700,59184,1.25,1,29017,30167,96.41,1.74,0.33,9.8,0,10.9,43107,15.3,37.15,32.85,14.7,25.1,54.54,44.34,5.12,0
WILSON,TX,2011,73650,43670,1.69,1,21727,21943,95.7,1.7,0.83,38.48,789,12.4,56873,20.7,34.65,28.5,16.15,28.2,29.2,69.92,6.52,0.02
WAUPACA,WI,2006,73630,52059,1.41,1,26294,25765,97.92,0.43,0.52,2.02,2819,10,44479,13.05,43,27.25,16.65,26.7,45.39,53.53,5.03,0.05
CLAY,MS,2008,73600,20723,3.55,3,9746,10977,42.97,55.8,0.14,1.51,621,25.2,33205,25.7,31.85,25.5,16.95,35.3,59.32,40.39,12.82,0.03
COSHOCTON,OH,2009,73600,35762,2.06,1,17790,17972,96.5,1.69,0.25,1.16,418,14.6,38887,17.9,50,20.9,11.2,31.5,45.22,51.91,13.52,0.01
SHENANDOAH,VA,2008,73600,41006,1.79,1,20073,20933,95.33,2.55,0.24,5.57,2366.5,9.8,48671,19.35,38.45,25.3,16.95,27.4,35.96,62.45,4.2,0.06
JOHNSON,TN,2012,73540,18147,4.05,3,9716,8431,96.31,2.22,0.21,1.51,910,28.7,30020,32.2,37.8,21.1,8.9,29.7,23.94,74.44,9.44,0.05
JEFFERSON,OR,2011,73530,21750,3.38,3,11284,10466,76.85,0.92,18.45,19.44,816,20.7,40910,18.9,31.2,34.6,15.3,30.4,41.35,55.81,12.76,0.04
BROOKE,WV,2007,73500,23594,3.12,2,11428,12166,97.21,1.29,0.17,0.73,464,12.2,39601,14.8,41.8,26.8,16.65,30.2,48.64,49.79,5.94,0.02
DOUGLAS,MN,2012,73500,36287,2.03,1,18175,18112,97.72,0.53,0.36,1.3,992,9.7,53096,9.8,31.3,37.65,21.25,26.3,41.3,56.72,5.03,0.03
PANOLA,TX,2010,73500,23796,3.09,2,11808,11988,81.03,16.38,0.56,8.28,1165,13.8,48621,19.6,33.75,32.55,14.05,31,23.46,75.97,9.03,0.05
BARBOUR,AL,2007,73490,29736,2.47,2,15626,14110,51.38,46.69,0.5,3.75,530,26.1,30370,31.1,33.95,23.4,11.45,36.4,47.95,51.52,6.27,0.02
GLENN,CA,2007,73460,27808,2.64,2,14122,13686,91.42,1.22,2.32,35.6,1667.5,15.8,38521,29.5,27.05,31.6,11.85,24.6,36.28,61.58,8.83,0.06
SUSQUEHANNA,PA,2009,73460,40513,1.81,1,20328,20185,97.56,1,0.29,1.5,1183,13.8,40665,14.4,46.65,23.6,15.35,27.2,42.2,56.32,8.49,0.03
WARD,ND,2011,73450,64198,1.14,1,32869,31329,90.78,2.76,2.68,3.57,2510,9.8,53157,9.55,29.8,35.6,25,30.9,34.76,62.5,3.2,0.04
TELFAIR,GA,2012,73430,16365,4.49,3,9523,6842,61.15,36.8,0.29,13.37,413,41.2,27655,33,43.75,15.05,8.2,31.6,41.63,57.2,7.747876585,0.03
PERRY,PA,2008,73420,45255,1.62,1,22691,22564,97.74,1.04,0.19,1.23,1216,9.3,54078,16.2,47.65,22.15,13.95,30.3,32.41,66.17,5.22,0.03
BONNER,ID,2006,73400,40462,1.81,1,20301,20161,96.26,0.36,1.06,2.53,2087,13.6,40456,11.65,31.9,36.8,19.65,20.7,38.86,58.76,4.7,0.05
CLARION,PA,2006,73400,40107,1.83,1,19465,20642,97.77,0.97,0.16,0.64,1530.75,13.1,37967,14.6,48.15,18.65,18.55,25.9,36.62,62.41,4.92,0.04
GLADWIN,MI,2007,73400,26297,2.79,2,13049,13248,97.33,0.57,0.67,1.33,1144.25,17.6,35152,17.95,41,29.65,11.4,28.8,49.32,49,10.13,0.04
HOT SPRING,AR,2010,73400,32923,2.23,1,16813,16110,86.65,10.92,0.49,2.79,772,15.3,37243,20.55,40.55,26.4,12.5,33.4,34.94,61.66,8.59,0.02
MORRIS,TX,2010,73400,12934,5.67,3,6239,6695,73.88,23.1,0.9,7.75,780,19.2,34451,19.05,36.75,30.65,13.6,31.9,37.66,61.53,13.77,0.06
SAINT CROIX,WI,2006,73400,79264,0.93,1,39979,39285,96.67,0.79,0.39,1.51,3488.25,4.9,67126,6.15,29.75,33.95,30.15,26.1,46.08,52.58,5.072493647,0.04
TISHOMINGO,MS,2007,73400,19173,3.83,3,9183,9990,93.82,4.8,0.42,2.85,680,17.8,33123,28.15,38.45,23.35,10.1,27.5,26.24,72.71,7.9,0.04
WASHINGTON,MO,2007,73400,24321,3.02,2,12547,11774,94.81,3.17,0.63,1.32,1069.75,21.7,33197,30.25,37.75,23.75,8.2,31.5,48.89,49.36,8.25,0.04
STODDARD,MO,2006,73380,29804,2.46,2,14460,15344,96.42,1.78,0.42,1.22,765,19.6,33823,25.85,39.55,22.45,12.1,29.8,29.59,69.45,5.62,0.03
WAYNE,TN,2010,73330,17021,4.31,3,9402,7619,92.86,5.76,0.34,1.63,820,22.1,32334,29.85,41.35,19.25,9.55,31.5,22.86,75.63,11.38,0.05
DODGE,GA,2006,73300,19718,3.72,3,10400,9318,68.39,30.29,0.32,2.27,833.5,20.3,30563,25.35,39.3,22.25,13.1,29,32.84,66.52,5.072493647,0.04
MIAMI,IN,2009,73300,35877,2.04,1,19068,16809,91.55,5.54,0.97,2.14,983,17,39392,16.4,43.7,28.45,11.5,32.2,37.82,60.16,14.44,0.03
OSAGE,OK,2010,73300,47472,1.54,1,23889,23583,66.66,11.46,14.61,2.88,718,16.5,41589,15.8,37.9,30,16.3,33,37.75,62.25,7.75,0.02
SHOSHONE,ID,2011,73300,12681,5.78,3,6346,6335,95.73,0.33,1.55,3.26,531,19.7,36811,18.45,38.85,31.35,11.3,30.1,44.3,52.35,14.5,0.04
FULTON,OH,2011,73210,42360,1.73,1,20865,21495,97.67,0.51,0.34,8.06,363,9.8,49038,11.8,42.55,30.45,15.25,30.2,43.26,54.69,9.62,0.01
CHEBOYGAN,MI,2007,73200,26816,2.73,2,13359,13457,94.72,0.79,2.46,1.26,694.25,14.9,38335,13.75,40.05,29.5,16.7,30.8,46.95,51.37,10.64,0.03
GREENE,IN,2006,73200,32872,2.23,1,16257,16615,97.84,0.63,0.37,1.32,824.5,16.1,36480,16.9,42.1,28.55,12.5,28,38.2,60.45,5.7,0.03
HERTFORD,NC,2006,73200,22711,3.22,2,11064,11647,35.25,62.07,1.22,2.15,1645.75,26.5,28926,27.2,31.65,27.9,13.2,34.1,66.88,32.59,5.53,0.07
HURON,MI,2010,73200,33118,2.21,1,16438,16680,98.04,0.37,0.34,1.98,906,15.8,38274,16.5,42.6,27.7,13.2,29,45.47,53.05,12.45,0.03
SAINT BERNARD,LA,2006,73200,14495,5.05,3,7256,7239,81.28,14.29,1.05,7.95,2973.5,18.8,37375,22.6,38.5,28.35,10.5,30.5,29.57,68.44,5.072493647,0.21
WARREN,PA,2008,73200,40754,1.8,1,20139,20615,98.02,0.65,0.24,0.82,1267.75,11.4,41193,11.55,47.55,24.4,16.55,29.5,46.16,52.37,5.18,0.03
SUSQUEHANNA,PA,2007,73180,41052,1.78,1,20535,20517,97.81,0.85,0.27,1.35,1172.5,11.3,42149,14.4,46.65,23.6,15.35,25.5,42.25,56.55,4.37,0.03
NATCHITOCHES,LA,2009,73170,39230,1.87,1,18762,20468,57.54,39.49,1.05,2.13,2955,26.9,31554,21.15,32.6,27.4,18.9,35.7,45.79,52.94,7.9,0.08
MILLE LACS,MN,2008,73140,26313,2.78,2,13091,13222,92.98,0.71,4.55,1.9,1994.25,12.3,46215,14.45,39.4,32.35,13.85,26.1,44.83,52.05,9.03,0.08
ASHLAND,OH,2009,73100,55004,1.33,1,27059,27945,96.73,1.49,0.19,1.24,1069,16.7,43794,14.15,44.75,23.1,18.05,30.4,36.22,61.12,12.52,0.02
DALLAS,IA,2012,73100,72232,1.01,1,35437,36795,93.29,1.62,0.33,6.11,911,6.2,73052,7.55,25.6,28.95,37.95,31.1,43.49,55.06,3.92,0.01
IROQUOIS,IL,2012,73100,29267,2.5,2,14318,14949,97.04,0.97,0.31,5.96,0,14.1,47201,15.1,41.2,30.6,13.05,32.6,26.7,71.34,8.45,0
