BUYER_COUNTY,BUYER_STATE,year_x,DOSAGE_UNIT,TOT_POP,drugdensity,densitybins,TOT_MALE,TOT_FEMALE,WA_PER,BA_PER,IA_PER,H_PER,GRNDTOT,Poverty_Percent,Median_Income,ltHS,HS,sCorA,B+,ObesityPercent,democrat,republican,Unemp_Yearly_Rate,crimerate
FRANKLIN,AL,2007,171950.0,30701.0,5.6,3,15274.0,15427.0,93.11,5.02,0.45,11.72,620.25,20.1,30765.0,30.75,34.0,23.7,11.55,29.8,31.45,67.29,4.63,0.02
MARION,WV,2007,171630.0,56958.0,3.01,2,27483.0,29475.0,94.95,3.43,0.24,1.08,1481.25,16.0,38000.0,15.7,40.05,25.25,19.0,31.1,49.58,48.6,4.23,0.03
MCDOWELL,WV,2010,171130.0,22113.0,7.74,3,10937.0,11176.0,89.21,9.53,0.16,0.41,774.0,33.6,24133.0,42.35,38.85,13.6,5.25,36.7,43.71,54.4,13.22,0.04
COLLETON,SC,2011,167970.0,38454.0,4.37,3,18494.0,19960.0,58.07,39.31,0.85,2.77,2021.0,28.1,32963.0,22.3,38.95,25.35,13.45,38.2,49.64,49.36,14.12,0.05
MARION,TN,2010,167600.0,28237.0,5.94,3,13871.0,14366.0,94.46,3.61,0.42,1.28,1742.0,21.9,37672.0,27.05,36.35,25.25,11.25,29.9,38.69,59.62,11.13,0.06
JEFFERSON,TN,2006,167580.0,49375.0,3.39,3,24274.0,25101.0,95.31,2.77,0.41,2.19,2873.25,17.0,37773.0,22.8,37.0,25.7,14.5,27.3,29.86,69.08,5.7,0.06
FAYETTE,WV,2010,167300.0,46039.0,3.63,3,23085.0,22954.0,93.69,4.65,0.2,0.87,818.0,22.6,30856.0,24.6,41.75,20.95,12.7,33.4,43.08,54.88,9.96,0.02
FRANKLIN,TN,2009,166030.0,41317.0,4.02,3,20350.0,20967.0,91.71,6.09,0.35,2.69,2357.0,15.1,40432.0,20.3,37.0,24.75,17.95,33.9,37.14,61.26,10.9,0.06
WINSTON,AL,2010,165920.0,24484.0,6.78,3,12021.0,12463.0,97.01,0.49,0.82,2.61,872.0,20.3,32574.0,30.1,35.25,24.1,10.6,35.7,15.38,83.17,16.0,0.04
BLOUNT,AL,2011,165790.0,57554.0,2.88,2,28445.0,29109.0,96.49,1.47,0.61,8.36,0.0,14.9,41940.0,24.9,34.15,29.6,11.35,30.9,12.9,85.86,8.7,0.0
WINSTON,AL,2009,165340.0,23973.0,6.9,3,11851.0,12122.0,96.14,2.03,0.56,2.79,1144.0,24.9,31062.0,30.1,35.25,24.1,10.6,36.0,16.45,81.98,17.72,0.05
FAYETTE,WV,2012,165030.0,45861.0,3.6,3,23069.0,22792.0,93.52,4.66,0.24,0.98,1366.0,21.4,33445.0,24.6,41.75,20.95,12.7,34.5,38.51,59.35,8.67,0.03
FAYETTE,WV,2011,163230.0,45919.0,3.55,3,23027.0,22892.0,93.66,4.62,0.22,0.95,1176.0,21.8,32316.0,24.6,41.75,20.95,12.7,34.0,40.8,57.11,8.98,0.03
JEFFERSON,WV,2011,161730.0,54449.0,2.97,2,26913.0,27536.0,89.13,6.67,0.29,4.91,1080.0,11.4,59280.0,16.1,33.4,24.45,26.05,31.4,48.19,49.89,6.23,0.02
FRANKLIN,TN,2008,159290.0,41238.0,3.86,3,20286.0,20952.0,91.96,5.92,0.33,2.58,2544.25,17.2,40890.0,20.3,37.0,24.75,17.95,32.5,37.94,60.46,6.67,0.06
GRUNDY,TN,2010,158510.0,13703.0,11.57,4,6785.0,6918.0,98.04,0.28,0.47,0.82,453.0,30.3,27494.0,35.8,38.2,16.95,9.05,30.6,40.66,57.36,12.63,0.03
FRANKLIN,TN,2006,157980.0,40949.0,3.86,3,20109.0,20840.0,92.1,5.89,0.3,2.31,2544.25,15.5,40651.0,20.3,37.0,24.75,17.95,29.5,41.81,56.96,5.72,0.06
FRANKLIN,TN,2010,157530.0,41052.0,3.84,3,20027.0,21025.0,92.06,5.2,0.38,2.51,2413.0,14.8,40247.0,20.3,37.0,24.75,17.95,31.5,36.35,62.06,10.1,0.06
BLOUNT,AL,2009,156700.0,58197.0,2.69,2,29090.0,29107.0,94.62,3.44,0.62,7.87,1504.0,14.6,41520.0,24.9,34.15,29.6,11.35,32.0,13.97,84.63,10.0,0.03
MARION,SC,2011,155800.0,32780.0,4.75,3,15021.0,17759.0,41.4,56.34,0.58,2.56,1342.0,31.6,27726.0,26.65,37.1,22.95,13.3,39.8,64.32,34.77,17.72,0.04
LINCOLN,TN,2012,155460.0,33373.0,4.66,3,16366.0,17007.0,90.27,6.77,0.67,2.9,1407.0,16.5,42178.0,23.8,38.9,22.25,15.1,29.1,24.8,73.88,6.06,0.04
JEFFERSON,WV,2010,154500.0,53498.0,2.89,2,26444.0,27054.0,89.43,6.69,0.27,4.65,1283.0,11.1,63156.0,16.1,33.4,24.45,26.05,33.5,49.41,48.94,6.68,0.02
MCDOWELL,WV,2006,154000.0,23251.0,6.62,3,11168.0,12083.0,88.34,10.37,0.19,0.8,850.25,34.6,20252.0,42.35,38.85,13.6,5.25,34.3,57.51,41.33,7.68,0.04
COFFEE,AL,2009,153610.0,48322.0,3.18,2,23861.0,24461.0,77.57,18.4,0.84,4.94,1795.0,15.7,43296.0,20.7,27.75,30.5,21.0,32.1,25.15,74.14,8.52,0.04
WYOMING,WV,2010,152190.0,23796.0,6.4,3,11810.0,11986.0,98.28,0.49,0.15,0.44,102.0,20.0,35872.0,28.65,45.1,17.95,8.2,37.0,28.68,69.03,10.38,0.0
MCDOWELL,WV,2011,150800.0,21731.0,6.94,3,10756.0,10975.0,89.42,9.2,0.17,0.5,899.0,34.2,23751.0,42.35,38.85,13.6,5.25,37.5,38.89,59.19,11.93,0.04
